id,name,description,recommendation
86,EXUDATIVE SEROUS SINOVITIS,"Gây ra những tình trạng đau khớp, do có nước trong khớp, thường liên quan đến bệnh viêm khớp hay Gút.","Hãy thãi độc, dùng Xtracall, Alve, và liệu pháp Plasma."
88,FARSIGHTEDNESS,Tật viễn thị,
89,GASTRITIS,Viêm bao tử.,
90,GASTROENTERITIS,Nhiểm trùng đường ruột và viêm bao tử,
91,GOUT,"Có Acid trong khi tiểu, có thể tạo miểng trong thận, đau khớp, các ngón tay, viêm khớp cấp tính và sưng khớp.",
92,GENYANTRITIS,Viêm phần trên của khoang mủi.,
93,HAEMORRHOIES,Bệnh trĩ. Hãy dùng chiết suất Lô hội,
94,HEPATITIS VIRUS,"Virus gây bệnh viêm gan, làm vàng da.",
95,HERPESVIRUS,"Nhóm virus gây bệnh Herpes, bệnh mụn giộp. Khi bệnh phát triển sẽ làm suy yếu hệ miễn dịch, dể lây lan. (infectious mononucleosis)",
97,HELIOBACTER PYROLI,"Vi khuẩn cùng những nguồn bệnh khác có thể gây khó tiêu, chứng ợ nóng, nôn mữa, đau bao tử, viêm cấp tính, dạng viêm tá tràng và loét dạ dày.",
98,HELMINTHIC INVASIONS,Ký sinh trùng gây nhiễm độc ở gan.,
99,HLAMIDIUM,"Vi sinh vật có thể gây nhiễm trùng cho cơ thể. Bệnh diển ra rất âm ỉ, kéo dài, rất khó nhận biết. Dạng vi sinh vật không giống những loại khác, bệnh cũng ít nghiêm trọng hơn.",Liệu pháp Plasma
100,HYMENOLEPIS DIMINUTA,"còn được gọi là sán dây chuột, có thể gây tiêu chảy, nhiễm trùng, làm suy yếu hệ miễn dịch",
101,HYMENOLEPIS NANA,"ký sinh trùng sản xuất ra một chất độc ở trẻ em có thể gây ra giảm cân, làm phá vỡ chức năng đường ruột, đau đầu, mệt mỏi, đau bụng, nôn mửa.",
102,HYPOFERRIC ANEMIA,"Thiếu sắt và vitamine B 12, làm người mệt mõi.",
103,HYPOTENSION,Huyết áp thấp ,
104,HYPERLUTEINISM,"Có trở ngại với chu kỳ trứng rụng, trong một chu kỳ đậu nhiều hơn một trứng, giống như sanh đôi.",
105,HYPEROXALATURIA,"Quá trình chuyển hóa có nhiều bất thường, do đó xảy ra trường hợp thừa, thiếu khoáng chất trong khi tiểu .",
106,HYPERURATURIA,"Thận tồn tại quá nhiều acid uric hay muối trong nước tiểu , có thể tạo ra sạn thận.",
107,HYPERPHOSPHATURIA,Có quá nhiều Phốt phát trong khi tiểu.,
108,HYPOTHYROIDISM,Hốc môn tuyến giáp sản xuất đủ,
109,HYDRONEPHROSIS,"có trong tuyến thượng thận, có thể gây tình trạng đau lưng, sườn, vùng bụng,chân ngứa ran tái đi tái lại.",Tìm cách hổ trợ chức năng của thận và gia tăng lượng nước tiêu thụ.
111,HYPOTONIA,Rối loạn hệ thần kinh của hệ thống vận động,
112,NTERVERTIBRAL OSTEOCHONDROSIS,Bệnh lệch khớp.,
113,DIOPATHIC HYPERTENSIA,"Bệnh thuộc hệ thần kinh gây nhức đầu, tạo áp lực lên não làm nôn mữa, mắc chứng nhìn đôi.",
115,ISCHEMIA,"Bệnh về tim, giảm lưu lượng máu đến cơ tim nhiều nguy cơ nhồi máu cơ tim.","Dùng Omega 3, Niteworks"
116,JODAMOEBA BUETSCHLII,Ký sinh trùng có thể gây khó tiêu.,
117,KINGELLA KINGAE,Loại vi khuẩn làm nhiễm trùng phần trên tuyến hô hấp.,
118,KORONAVIREN,Loại virus gây bệnh phần trên và dưới cuống phổi.,
119,KLEBSIELLA PNEUMONIAE,Vi khuẩn làm viêm phổi.,
120,LAMBLIA - INTESTINALIS,"Loại ký sinh trùng gây khó tiêu và trở ngại cho đường ruột, phá hủy thành ruột non.",
121,LARYNGITIS,"Bệnh nhiểm trùng ở thanh quản, có thể kinh niên hay cấp tính",
122,LEGIONELLA PNEUMOPHILA,Loại vi khuẩn làm hại phổi.,
123,LEPTOSPIRA INTERROGANS,"Loại trùng xoắn móc câu, vi khuẩn nguy hiểm đối với con người.","Liệu pháp Plasma, Clakia."
124,MONONUCLEOSIS,"Đây là bệnh gây ra bởi virus, ảnh hưởng đến các tuyến nội tiết, đặc biệt lá lách, gan và khối u phế quản và vùng xương chẩm. Thường nhất đối với trẻ em mắc bệnh, hình như không có triệu chứng. Các dấu hiệu bao gồm mệt mỏi chung, sốt, viêm họng và xương chẩm sưng to.",
127,MENINGOCOCCUM,,
128,PETERLING,"Bệnh khuẩn cầu não là loại bệnh gây ra bởi vi khuẩn Meningococcal. Nếu không sớm chữa trị sẽ có nhiều nguy cơ tử vong. Chúng có thể xâm nhập hệ tuần hoàn máu và não. Bệnh có thể lây truyền qua tuyến nước bọt hay tiếp xúc lâu với người bệnh. Đây cũng là quả bom nổ chậm nằm tại khu vực mủi và yết hầu, vốn chiếm 15% dân số khỏe mạnh. Vi khuẩn trong máu tãn ra các nơi khác nhau trong cơ thể tấn công vào thận , gan, tim, phổi và mắt.",
129,METAGONIMUS YOKOGAWAI,Ký sinh trùng,
130,MALIGNANT NEOPLASM,Nguyên nhân gây ra nhiễm trùng đường tiết niệu,
131,MYCOPLASMA HOMINIS,Co´thể gây ra nhiễm trùng đường tiết niệ,
132,MICROSPORUM CANIS,Nấm,
133,MUCOR RACEMOSUSM,Nấm,
134,MUCOR FLUOR,Nấm,
135,MUCOR FUNGOIDES,"Bệnh do nấm, có thể gây phát ban da, ngứa",
136,MUCOR MUCEDO,Nấm,
137,MIGRAINES,"Điều kiện thần kinh mãn tính, có thể gây đau đầu",
138,NECATOR AMERICANUS D=0,"362 giun móc, sống trong ruột, làm suy yếu hệ miễn dịch",
139,NEURASTENIA,"Hội chứng mệt mỏi, trạng thái kiệt sức lo lắng, tâm trạng chán nản có thể xảy ra, đau đầu",
140,NEURANGIOSIS,"Mệt mỏi, cảm giác mất sức, đau cơ, rối loạn giấc ngủ",
141,NEURALGIA,"Phá vỡ các sợi thần kinh (đau trong mô thần kinh), tăng độ nhạy cảm của các sợi thần kinh",
142,NEPHROLITHIASIS,Kidney stones,
143,NEPHRNEISSERIA GONORRHOEAE,Nó là một loại vi khuẩn lây truyền qua đường tình dục và có thể gây nhiễm trùng nguy hiểm cơ quan sinh dục nữ.,
145,NEPHROPTOSIS,"NỔI thận và có thể gây ra đau, buồn nôn",
146,NOCARDIA ASTEROIDES,Nhiễm trùng phổi,
147,NODULAR TOXIC GOITER,Các chất độc hại trong tuyến giáp,
148,OSTEOPOROSIS,Kiến nghị loãng xương: Calcium,
149,OPISTHORHIS FELINEUS,"Ký sinh trùng nhiễm gan ảnh hưởng đến chức năng của gan, tuyến tụy, túi mật, đường mật, gây ra buồn nôn, phát ban da, rối loạn tiêu hóa và bệnh thiếu máu.",
150,OTITIS,"Viêm tai giữa, có thể gây đau, nhức đầu, nôn",
151,PAROXYSMAL TACHYCARDIA,Rối loạn nhịp tim.,
152,OPTIC NERVE NEURITIS,Viêm dây thần kinh thị giác,
153,OPTIC ATROPHY,"Mất mát của mô thần kinh. Trong số những nguyên nhân chủ yếu là suy giảm thị lực, tầm nhìn màu sắc và nhận thức về ánh sáng.",
154,OVARIAN CYST,"Tích tụ của chất lỏng trong buồng trứng, gây đau và chảy máu",
155,PAROXYSMAL TACHYCARDIA,Tăng nhịp tim,
156,PAROTITIS,priusnice,
157,PAPILLOMAVIRUS,"Chủ trương diệt tế bào, DNA, có thể phát triển các mụn cóc, gây ra ung thư cổ tử cung",Khuyến cáo tăng khả năng miễn dịch và giải độc các liệu pháp toàn bộ plasma
158,PARAGONIMUS AFRICANUS,"Giun dẹp, gây nhiễm trùng phổi",
159,PARAGONIMUS WESTERMANI D=0,"383 phổi sán, Nó có thể gây ra một hơi cấp cho bệnh viêm mạn tính của phổi",
160,PERIARTHERITIS NODOSA,"Ảnh hưởng đến hệ thần kinh trung ương, gây ra những thay đổi cảm giác thường ảnh hưởng đến thận hoặc tim có thể mệt mỏi, sụt cân, suy nhược, đau bụng, chán ăn, đau cơ và khớp bị mòn",
161,PENICYLLIUM CAMANBERTI,Nấm,
162,PENICYLLIUM ROCOVEFORTI,"Vi khuẩn, có thể gây ra nhiễm trùng trong ruột và bộ phận sinh dục",
163,PENICYLLIUM NOTATUM,Nấm,
164,PENICYLLIUM FRECVENTANS,Nấm,
165,PERESISTENT HEPATITIS,"Mãn tính, viêm nhẹ lâu dài của gan.",
166,PHARYNGITIS,Viêm họng.,
167,PITYROSPORUM ORBICULARE,Nhiễm trùng,
168,PLASMODIUM FALCIPARUM,Sốt rét,
169,PLASMODIUM VIVAS,Sốt rét,
170,PSEUDOMONAS AERUGINOSA,"Mầm bệnh có thể gây ra nhiễm trùng đường tiết niệu, hoặc độc tố huy hoại phế quãn",
171,POLYPUS,Cục u mỡ trên niêm mạc,
172,POLIPOID GASTRITIS,Gây viêm và tổn thương các niêm mạc.,
173,POLYPUS,U san hô,
174,POLLIOMMYELITIS - INJEEL,"HEEL Bại liệt - một loại virus ảnh hưởng đến vận động, sau đó các triệu chứng bệnh bao gồm nhiệt độ, buồn nôn, đau đầu, đau bụng, cứng khớp và đôi khi lưng và chân đau.",
175,PNEUMOCYSTIS CARINII,"nấm, có thể gây nhiễm trùng phổi ở những người có hệ miễn dịch yếu.",
176,PNEU-MOCOCCINUM,"Vi khuẩn có thể gây nguy hiểm cho trẻ em và người già có hệ miễn dịch yếu, có thể gây ra căn bệnh rất ngat ngheo với những hậu quả nghiêm trọng. Nhu viêm tai giữa, viêm phổi, viêm màng não, vv",
178,PROSTATITIS,ZVĚTŠENÁ PROSTATA,
179,PERIARTHERITIS NODOSA,"Bệnh tim mạch nơi có thể làm hỏng các mạch vừa và nhỏ và tĩnh mạch. Nó có thể gây ra đau bụng, mệt mỏi, chán ăn, sốt, đau khớp, yếu cơ.",Giải độc Alveo
180,PSEUDOMONAS AERUGINOSA,Một loại Vi khuẩn.,
181,PROCTITIS,"Viêm niêm mạc trực tràng, bệnh viêm ruột.",Aloe
182,PYELONEPHRITIS,Nhiễm trùng đường tiết niệu,
183,RADICULITIS,"Đau dây thần kinh hông, lưng dưới",
184,REOVIREN,"Virus có thể gây tiêu chảy, viêm ruột",
185,RESPIRATORISH,"VIRUS, gây ho, viêm mũi, cảm lạnh",
186,RHINITIS,Niêm mạc bị nhiễm virus giảm độc lực,
187,ROTAVIRUS,Virus phá màng nhầy của hệ thống tiêu hóa có thể gây tiêu chảy,
188,EXUDATIVE SEROUS SINOVITIS,Chứng Synovitis với tràn dịch lớn dịch nonpurulent.,
189,SCAPULARHUMERAL PERIARTHRITIS,bệnh viêm và thoái hóa của các mô sợi của khớp vai,
190,SCLERODERMA,Đóng băng da và nội tạng.,
191,SCOPULARIOPSIS BREVIC,Vi sinh vật,
192,SEBORRHOEA,"Vấn đề da, tăng sản xuất bã nhờn và mụn trứng cá: Tư vấn giải độc ruột.",
193,SCHISTOSOMA HAEMATOBIUM,"ký sinh trùng. gây nhiễm trùng ở đường tiết niệu, nó là ung thư nguy hiểm đó có thể gây ra ung thư bàng quang.",
194,SHORTSIGHTEDNESS,Cận thị,
195,SINUSITIS,Viêm xoang,
196,SIGMOIDITIS,"Viêm hoặc nhiễm trùng ở đại tràng. Các triệu chứng bao gồm đau bụng, đặc biệt là ở phía bụng dưới.","nên dùng Aloe, chất xơ và Herb,"
197,SHIGELLA DYSENTERIAE,Vi khuẩn CÓ THỂ CHO KẾT QUẢ tiêu chảy,
198,SHIGELLA FLEXNER,Vi khuẩn CÓ THỂ CHO KẾT QUẢ tiêu chảy,
199,STOMACH ULCER DISEASEM,"Loét (viêm dạ dày, tổn thương niêm mạc)",
200,SPIROMETRA ERINACEI,sán xơ mít,
201,STREPTOCOCCUS AGALACTIA,có thể gây ra nhiễm trùng ở bộ phận sinh dục và nhiễm trùng đường tiết niệu,
202,STREPTOCOCCUS MITTIS,"Nguyên nhân viêm, sốt thấp khớp, ảnh hưởng đến các khớp, thận, tim, van tim",
203,STREPTOCOCCUS VIRIDANS,Vi khuẩn gây viêm nhieu bộ phận khác nhau trong cơ thể,
204,STREPTOCOCCUS LACTIS,"Nguyên nhân viêm, sốt thấp khớp, ảnh hưởng đến các khớp, thận, tim, van tim",
205,SCOPULARIOPSIS BREVIC,Nấm,
206,STRONGYLOIDES STERCORALIS,"Ký sinh trùng, giun tròn, sống trong ruột, chung có thể chui vào phổi",
207,STAPHILOCOCCUS - STAFYLOKOK SUBAORTAL STENOSIS,"Thu hẹp tâm thất, khuyến nghị Omega 3",
208,SURAL ULCER,"Loét tĩnh mạch, có thể ảnh hưởng đến đau gót ở bàn chân.",
209,TAENIA SAGINATA,"cuộc sống sán dây ở ruột non, có thể gây đau bụng, buồn nôn, suy nhược, sụt cân, tiêu chảy, táo bón",
210,THROMBOPHLEBITIS,"Viêm tĩnh mạch, huyết khối",
211,TOXICOALLERGIC ARTHRITIS,"Các bệnh về khớp, khuyến cáo điều trị plasma, giải độc, trà nang luong, omega 3",
212,TONSILLITIS,"Viêm amiđan. Triệu chứng: đau họng, đỏ, amidan sưng, đau trong khi nuốt, sốt cao, ho, đau đầu, mệt mỏi, các đốm trên amiđan, sưng hạch bạch huyết (tuyến) trong cổ, đau trong tai hoặc cổ họng, buồn nôn",
213,TRACHEITIS,Viêm khí quản,
214,TRICHINELLA NATIVA,Tuyến trùng tấn công niêm mạc của ruột non,
215,TRICHINELLA NELSONI,"ký sinh trùng, ấu trùng xâm nhập vào các mô cơ. Một số triệu chứng bao gồm sốt, đau cơ, mệt mỏi và phù nề",
216,TRICHINELLA SPIRALIS,Ký sinh trùng,
217,TRICHINELLA BRITOVI,"ký sinh trùng gây sốt, ớn lạnh, nhức đầu, đổ mồ hôi dữ dội, buồn nôn, nôn mửa và tiêu chảy sau khi xâm nhập vào các cơ bắp gây đau cơ và có thể phải chịu những biến chứng nghiêm trọng, biến chứng tim mạch và nhịp tim không đều, chóng mặt, rối loạn thị giác, biến chứng hô hấp",
218,TRICHOPYTHON RUBRUM,là một loại nấm da,
219,TRYPANOSOMA CRUZI,Ký sinh trùng,
220,TOXIC HEPATITIS,Độc tố trong gan.,"giải độc gan, cây lô hội"
221,PAROXYSMAL TACHYCARDIA,"Tăng nhịp tim, có thể bị giảm sút mặc vật lý. ","Khuyến nghị:
omega 3"
222,TRICHOCEPHALUS TRICHIURUS,Ký sinh trùng gây nhiễm trùng ruột non.,
223,URETHRITIS,viêm niệu đạo,
224,UREAPLASMA UREALITICUM,"Vi khuẩn trong hệ thực vật âm đạo, có thể gây nhiễm trùng đường tiết niệu",
225,VARICOUS VEINS,Dễ bị giãn tĩnh mạch,
226,VASCULOMOTOR RHINOPATHY,Co thắt hay giãn nở của các mạch máu liên quan đến dây thần kinh và cơ bắp,
227,CLADOSPORIUM HERBARUM,Nấm,
228,HYPERESTROGENISM,Dư estrogen.,Thải độc
